Dataset ID,Pipeline ID ,Performance (Accuracy Score),perf>0.88
195,241,0.95257413,1
185,301,0.95257413,1
21,376,0.7310586,0
243,50,0.880797,0
165,345,0.7310586,0
297,473,0.98201376,1
114,264,0.880797,0
252,464,0.9933072,1
304,450,0.95257413,1
5,85,0.95257413,1
61,256,0.880797,0
285,1013,0.9933072,1
199,221,0.9933072,1
209,39,0.95257413,1
223,28,0.95257413,1
302,784,0.95257413,1
121,386,0.9933072,1
193,273,0.880797,0
290,1041,0.98201376,1
233,1183,0.880797,0
118,391,0.98201376,1
166,485,0.98201376,1
298,143,0.98201376,1
290,117,0.880797,0
307,0,0.98201376,1
94,545,0.880797,0
37,94,0.9933072,1
101,767,0.880797,0
62,276,0.98201376,1
159,233,0.9933072,1
49,245,0.95257413,1
300,97,0.98201376,1
224,192,0.98201376,1
289,87,0.98201376,1
96,193,0.95257413,1
156,273,0.98201376,1
180,1080,0.7310586,0
277,602,0.9933072,1
275,795,0.7310586,0
6,31,0.98201376,1
9,15,0.98201376,1
283,303,0.98201376,1
200,978,0.880797,0
275,563,0.95257413,1
286,326,0.9933072,1
245,200,0.9933072,1
241,1136,0.9933072,1
248,240,0.9933072,1
98,3,0.9933072,1
177,331,0.95257413,1
250,99,0.98201376,1
80,431,0.880797,0
259,321,0.98201376,1
24,180,0.9933072,1
58,195,0.9933072,1
71,678,0.880797,0
86,383,0.98201376,1
289,142,0.9933072,1
41,422,0.9933072,1
291,514,0.98201376,1
114,19,0.95257413,1
19,287,0.7310586,0
200,218,0.98201376,1
12,525,0.95257413,1
245,918,0.98201376,1
137,25,0.9933072,1
166,231,0.7310586,0
59,426,0.9933072,1
56,303,0.9933072,1
222,273,0.98201376,1
188,511,0.98201376,1
242,14,0.95257413,1
91,1048,0.7310586,0
245,415,0.95257413,1
193,164,0.98201376,1
240,689,0.880797,0
177,247,0.98201376,1
253,1443,0.95257413,1
292,4,0.95257413,1
126,228,0.9933072,1
224,236,0.9933072,1
298,228,0.95257413,1
224,479,0.9933072,1
275,53,0.95257413,1
290,143,0.9933072,1
221,365,0.98201376,1
266,517,0.9933072,1
41,402,0.95257413,1
10,110,0.98201376,1
94,624,0.98201376,1
7,337,0.98201376,1
161,24,0.98201376,1
86,1015,0.98201376,1
278,153,0.9933072,1
144,274,0.880797,0
118,1152,0.9933072,1
61,497,0.98201376,1
61,381,0.95257413,1
27,208,0.98201376,1
134,22,0.98201376,1
31,293,0.95257413,1
89,381,0.9933072,1
285,207,0.98201376,1
292,684,0.95257413,1
215,143,0.98201376,1
165,327,0.9933072,1
249,495,0.98201376,1
270,131,0.9933072,1
159,173,0.9933072,1
264,117,0.98201376,1
197,497,0.95257413,1
41,95,0.9933072,1
167,150,0.9933072,1
109,306,0.98201376,1
57,143,0.98201376,1
89,647,0.98201376,1
270,345,0.98201376,1
61,20,0.95257413,1
278,831,0.95257413,1
236,513,0.98201376,1
93,788,0.98201376,1
127,484,0.95257413,1
297,316,0.98201376,1
43,194,0.9933072,1
263,199,0.9933072,1
193,384,0.880797,0
71,194,0.9933072,1
221,749,0.9933072,1
249,263,0.95257413,1
40,264,0.95257413,1
223,244,0.95257413,1
81,134,0.95257413,1
261,1146,0.98201376,1
292,470,0.95257413,1
215,657,0.95257413,1
249,139,0.95257413,1
58,22,0.9933072,1
285,378,0.9933072,1
243,814,0.98201376,1
6,478,0.98201376,1
173,367,0.7310586,0
86,273,0.98201376,1
193,1210,0.880797,0
81,1133,0.880797,0
12,835,0.880797,0
12,271,0.98201376,1
243,755,0.880797,0
304,426,0.9933072,1
94,786,0.880797,0
42,13,0.880797,0
298,954,0.98201376,1
56,418,0.95257413,1
83,404,0.95257413,1
268,503,0.98201376,1
298,110,0.95257413,1
193,465,0.98201376,1
159,134,0.98201376,1
98,267,0.95257413,1
9,485,0.98201376,1
258,116,0.98201376,1
84,426,0.95257413,1
302,918,0.98201376,1
212,272,0.9933072,1
120,513,0.95257413,1
89,97,0.9933072,1
48,558,0.880797,0
41,793,0.95257413,1
154,322,0.880797,0
67,116,0.98201376,1
171,176,0.98201376,1
18,3,0.98201376,1
267,230,0.98201376,1
4,1,0.95257413,1
304,116,0.880797,0
43,293,0.98201376,1
42,136,0.98201376,1
278,1335,0.7310586,0
79,465,0.9933072,1
253,163,0.98201376,1
297,280,0.95257413,1
278,1239,0.7310586,0
65,297,0.98201376,1
17,442,0.95257413,1
267,1034,0.880797,0
98,78,0.98201376,1
12,97,0.98201376,1
25,257,0.95257413,1
6,454,0.98201376,1
221,754,0.98201376,1
199,672,0.9933072,1
118,327,0.98201376,1
212,171,0.9933072,1
275,321,0.95257413,1
93,1216,0.95257413,1
129,378,0.98201376,1
37,327,0.98201376,1
159,718,0.95257413,1
292,1266,0.95257413,1
25,929,0.880797,0
129,215,0.98201376,1
91,1078,0.95257413,1
255,451,0.98201376,1
0,60,0.98201376,1
71,47,0.98201376,1
55,754,0.95257413,1
12,359,0.98201376,1
14,404,0.880797,0
91,76,0.95257413,1
206,475,0.880797,0
291,173,0.9933072,1
231,482,0.9933072,1
250,747,0.880797,0
223,25,0.95257413,1
180,219,0.98201376,1
258,254,0.98201376,1
304,470,0.98201376,1
51,279,0.95257413,1
160,201,0.9933072,1
147,407,0.9933072,1
124,234,0.880797,0
96,227,0.9933072,1
57,1097,0.98201376,1
82,233,0.98201376,1
89,346,0.98201376,1
271,177,0.9933072,1
193,180,0.95257413,1
124,477,0.98201376,1
109,687,0.7310586,0
298,13,0.98201376,1
150,9,0.9933072,1
268,126,0.98201376,1
5,13,0.9933072,1
53,105,0.95257413,1
302,68,0.9933072,1
15,943,0.7310586,0
300,789,0.98201376,1
275,1090,0.95257413,1
304,213,0.880797,0
193,1027,0.880797,0
90,322,0.880797,0
86,553,0.98201376,1
293,108,0.98201376,1
285,170,0.98201376,1
199,317,0.9933072,1
228,327,0.7310586,0
177,567,0.98201376,1
302,841,0.880797,0
61,64,0.98201376,1
206,590,0.95257413,1
91,171,0.98201376,1
300,400,0.98201376,1
35,338,0.9933072,1
69,745,0.95257413,1
62,241,0.95257413,1
27,200,0.95257413,1
278,67,0.98201376,1
249,6,0.98201376,1
13,97,0.95257413,1
298,1017,0.95257413,1
193,53,0.95257413,1
302,814,0.95257413,1
118,236,0.9933072,1
294,217,0.9933072,1
267,929,0.880797,0
267,1,0.880797,0
65,257,0.98201376,1
232,201,0.9933072,1
82,622,0.98201376,1
213,333,0.95257413,1
191,475,0.880797,0
99,343,0.98201376,1
267,144,0.7310586,0
300,55,0.98201376,1
306,88,0.9933072,1
233,140,0.95257413,1
82,575,0.98201376,1
180,263,0.880797,0
296,132,0.98201376,1
37,152,0.9933072,1
6,381,0.98201376,1
263,812,0.98201376,1
180,871,0.7310586,0
200,145,0.7310586,0
84,506,0.98201376,1
268,366,0.95257413,1
58,467,0.95257413,1
285,142,0.98201376,1
192,95,0.7310586,0
112,594,0.9933072,1
291,10,0.9933072,1
129,1013,0.95257413,1
274,97,0.98201376,1
188,519,0.9933072,1
218,81,0.7310586,0
217,208,0.9933072,1
122,426,0.95257413,1
118,221,0.9933072,1
157,176,0.98201376,1
221,117,0.98201376,1
301,321,0.880797,0
278,500,0.95257413,1
300,78,0.9933072,1
180,2,0.880797,0
200,694,0.7310586,0
12,197,0.95257413,1
0,188,0.95257413,1
144,236,0.9933072,1
22,384,0.98201376,1
200,766,0.98201376,1
295,704,0.9933072,1
41,545,0.95257413,1
32,871,0.95257413,1
300,553,0.95257413,1
15,63,0.9933072,1
94,134,0.95257413,1
153,356,0.98201376,1
76,483,0.9933072,1
295,507,0.9933072,1
301,302,0.880797,0
243,672,0.95257413,1
221,76,0.98201376,1
12,214,0.9933072,1
15,704,0.9933072,1
269,451,0.98201376,1
144,14,0.880797,0
186,63,0.9933072,1
199,303,0.9933072,1
169,748,0.9933072,1
100,828,0.95257413,1
183,217,0.95257413,1
127,203,0.98201376,1
180,1294,0.7310586,0
183,152,0.95257413,1
0,32,0.98201376,1
0,159,0.98201376,1
183,320,0.9933072,1
53,594,0.95257413,1
93,342,0.98201376,1
127,507,0.98201376,1
22,322,0.880797,0
300,226,0.95257413,1
300,190,0.95257413,1
111,902,0.7310586,0
81,182,0.95257413,1
221,723,0.95257413,1
217,429,0.95257413,1
307,1196,0.98201376,1
302,133,0.9933072,1
132,750,0.95257413,1
214,211,0.880797,0
68,255,0.9933072,1
253,661,0.98201376,1
275,1,0.98201376,1
103,983,0.7310586,0
62,1066,0.95257413,1
266,409,0.98201376,1
12,55,0.9933072,1
239,878,0.95257413,1
285,236,0.880797,0
293,270,0.9933072,1
89,1085,0.98201376,1
17,25,0.98201376,1
91,228,0.95257413,1
307,648,0.98201376,1
143,88,0.95257413,1
190,301,0.98201376,1
58,950,0.95257413,1
199,95,0.9933072,1
15,196,0.9933072,1
60,677,0.95257413,1
270,198,0.98201376,1
270,708,0.95257413,1
141,168,0.9933072,1
274,596,0.95257413,1
221,150,0.95257413,1
86,39,0.95257413,1
206,257,0.98201376,1
271,1392,0.880797,0
176,332,0.98201376,1
206,1114,0.880797,0
298,576,0.95257413,1
270,377,0.98201376,1
304,424,0.98201376,1
48,958,0.880797,0
93,1223,0.95257413,1
129,1016,0.95257413,1
9,174,0.95257413,1
202,320,0.95257413,1
190,285,0.98201376,1
42,322,0.95257413,1
20,557,0.9933072,1
196,95,0.9933072,1
12,343,0.880797,0
193,65,0.95257413,1
233,205,0.98201376,1
307,401,0.98201376,1
307,639,0.98201376,1
268,521,0.9933072,1
93,264,0.98201376,1
267,61,0.95257413,1
271,11,0.9933072,1
120,290,0.95257413,1
295,19,0.9933072,1
133,285,0.95257413,1
179,461,0.9933072,1
233,611,0.95257413,1
103,116,0.880797,0
37,757,0.7310586,0
268,844,0.7310586,0
6,162,0.98201376,1
233,1450,0.95257413,1
274,404,0.880797,0
51,249,0.95257413,1
101,822,0.95257413,1
12,185,0.98201376,1
177,730,0.98201376,1
235,70,0.95257413,1
255,780,0.9933072,1
262,175,0.9933072,1
243,185,0.95257413,1
278,1180,0.98201376,1
42,814,0.98201376,1
82,77,0.880797,0
150,196,0.9933072,1
253,435,0.880797,0
108,630,0.95257413,1
296,715,0.95257413,1
248,187,0.98201376,1
143,698,0.98201376,1
300,603,0.98201376,1
63,391,0.95257413,1
91,500,0.880797,0
221,96,0.98201376,1
267,435,0.95257413,1
292,134,0.9933072,1
212,172,0.9933072,1
159,459,0.880797,0
12,497,0.98201376,1
58,714,0.9933072,1
4,16,0.98201376,1
124,162,0.9933072,1
173,314,0.9933072,1
113,504,0.95257413,1
212,514,0.98201376,1
22,195,0.880797,0
127,14,0.98201376,1
238,55,0.98201376,1
180,278,0.7310586,0
290,79,0.98201376,1
249,237,0.98201376,1
200,648,0.95257413,1
59,59,0.9933072,1
180,324,0.880797,0
118,406,0.95257413,1
286,0,0.9933072,1
215,227,0.95257413,1
215,530,0.98201376,1
202,470,0.98201376,1
91,586,0.95257413,1
12,891,0.95257413,1
212,175,0.98201376,1
285,287,0.9933072,1
116,1046,0.880797,0
98,110,0.7310586,0
10,557,0.95257413,1
64,46,0.880797,0
294,193,0.98201376,1
268,216,0.880797,0
84,258,0.880797,0
249,595,0.9933072,1
136,143,0.9933072,1
200,959,0.880797,0
256,136,0.98201376,1
110,327,0.98201376,1
90,479,0.98201376,1
214,210,0.98201376,1
180,937,0.7310586,0
188,1059,0.9933072,1
0,19,0.98201376,1
302,403,0.98201376,1
298,304,0.95257413,1
